--------------------------Environment Versions--------------------------
- Python     : 3.8.0 (default, Dec  9 2021, 17:53:27) 
[GCC 8.4.0]
- PyTorch    : 1.12.0+cu113
- TorchVison : 0.13.0+cu113
- use_gpu    : True
- is_debug   : False [Attention!]
- workers    : 16
- epochs     : 25
- print_freq : 100
- train_file : ava_activespeaker_train_loader_checked.csv
- val_file   : ava_activespeaker_val_loader_checked.csv
------------------------------------------------------------------------
step1. model is loaded ...
there are 28770 lines in ava_activespeaker_train_loader_checked.csv
group 28770 annolines into 1074 minibatches
there are 07803 lines in ava_activespeaker_val_loader_checked.csv
group 7803 annolines into 7803 minibatches
step2. dataset is loaded ...
epoch - 01||25 is starting ...
val-iterate 6800|7803, ave_instance_loss 0.531930, ave_acc 0.7413
val-iterate 6900|7803, ave_instance_loss 0.531374, ave_acc 0.7419
val-iterate 7000|7803, ave_instance_loss 0.531233, ave_acc 0.7421
val-iterate 7100|7803, ave_instance_loss 0.531096, ave_acc 0.7423
val-iterate 7200|7803, ave_instance_loss 0.530943, ave_acc 0.7425
val-iterate 7300|7803, ave_instance_loss 0.530415, ave_acc 0.7431
val-iterate 7400|7803, ave_instance_loss 0.530213, ave_acc 0.7433
val-iterate 7500|7803, ave_instance_loss 0.530048, ave_acc 0.7435
val-iterate 7600|7803, ave_instance_loss 0.529910, ave_acc 0.7436
val-iterate 7700|7803, ave_instance_loss 0.529832, ave_acc 0.7437
val-iterate 7800|7803, ave_instance_loss 0.529276, ave_acc 0.7443
delete the exists ./checkpoint
---------------- epoch-001 summarys ----------------
train_loss 0.5755, train_acc 0.7227, train_auc 0.5762
 eval_loss 0.5293,  eval_acc 0.7443,  eval_auc 0.7002
train_time 182.9495, eval_time 38.4544
----------------------------------------------------
epoch - 02||25 is starting ...
train-iterate 0100|1074, ave_instance_loss 0.537661, ave_acc 0.7409
train-iterate 0200|1074, ave_instance_loss 0.541512, ave_acc 0.7349
train-iterate 0300|1074, ave_instance_loss 0.538622, ave_acc 0.7355
train-iterate 0400|1074, ave_instance_loss 0.537234, ave_acc 0.7349
train-iterate 0500|1074, ave_instance_loss 0.533310, ave_acc 0.7364
train-iterate 0600|1074, ave_instance_loss 0.526185, ave_acc 0.7406
train-iterate 0700|1074, ave_instance_loss 0.525932, ave_acc 0.7394
train-iterate 0800|1074, ave_instance_loss 0.521535, ave_acc 0.7422
train-iterate 0900|1074, ave_instance_loss 0.520859, ave_acc 0.7416
train-iterate 1000|1074, ave_instance_loss 0.518997, ave_acc 0.7423
val-iterate 0100|7803, ave_instance_loss 0.543386, ave_acc 0.7069
val-iterate 0200|7803, ave_instance_loss 0.532132, ave_acc 0.7127
val-iterate 0300|7803, ave_instance_loss 0.521107, ave_acc 0.7217
val-iterate 0400|7803, ave_instance_loss 0.514151, ave_acc 0.7313
val-iterate 0500|7803, ave_instance_loss 0.524989, ave_acc 0.7274
val-iterate 0600|7803, ave_instance_loss 0.522533, ave_acc 0.7261
val-iterate 0700|7803, ave_instance_loss 0.522589, ave_acc 0.7270
val-iterate 0800|7803, ave_instance_loss 0.521979, ave_acc 0.7290
val-iterate 0900|7803, ave_instance_loss 0.523792, ave_acc 0.7280
val-iterate 1000|7803, ave_instance_loss 0.523319, ave_acc 0.7275
val-iterate 1100|7803, ave_instance_loss 0.519070, ave_acc 0.7314
val-iterate 1200|7803, ave_instance_loss 0.514858, ave_acc 0.7348
val-iterate 1300|7803, ave_instance_loss 0.513109, ave_acc 0.7355
val-iterate 1400|7803, ave_instance_loss 0.511450, ave_acc 0.7364
val-iterate 1500|7803, ave_instance_loss 0.508356, ave_acc 0.7383
val-iterate 1600|7803, ave_instance_loss 0.507961, ave_acc 0.7384
val-iterate 1700|7803, ave_instance_loss 0.508489, ave_acc 0.7379
val-iterate 1800|7803, ave_instance_loss 0.507636, ave_acc 0.7385
val-iterate 1900|7803, ave_instance_loss 0.506756, ave_acc 0.7387
val-iterate 2000|7803, ave_instance_loss 0.505643, ave_acc 0.7395
val-iterate 2100|7803, ave_instance_loss 0.504858, ave_acc 0.7399
val-iterate 2200|7803, ave_instance_loss 0.504915, ave_acc 0.7398
val-iterate 2300|7803, ave_instance_loss 0.502729, ave_acc 0.7414
val-iterate 2400|7803, ave_instance_loss 0.503651, ave_acc 0.7407
val-iterate 2500|7803, ave_instance_loss 0.501911, ave_acc 0.7420
val-iterate 2600|7803, ave_instance_loss 0.503236, ave_acc 0.7413
val-iterate 2700|7803, ave_instance_loss 0.501800, ave_acc 0.7426
val-iterate 2800|7803, ave_instance_loss 0.500954, ave_acc 0.7430
val-iterate 2900|7803, ave_instance_loss 0.500139, ave_acc 0.7438
val-iterate 3000|7803, ave_instance_loss 0.498591, ave_acc 0.7450
val-iterate 3100|7803, ave_instance_loss 0.499190, ave_acc 0.7445
val-iterate 3200|7803, ave_instance_loss 0.499219, ave_acc 0.7446
val-iterate 3300|7803, ave_instance_loss 0.499541, ave_acc 0.7446
val-iterate 3400|7803, ave_instance_loss 0.498584, ave_acc 0.7454
val-iterate 3500|7803, ave_instance_loss 0.498311, ave_acc 0.7455
val-iterate 3600|7803, ave_instance_loss 0.497996, ave_acc 0.7456
val-iterate 3700|7803, ave_instance_loss 0.497685, ave_acc 0.7459
val-iterate 3800|7803, ave_instance_loss 0.497624, ave_acc 0.7461
val-iterate 3900|7803, ave_instance_loss 0.496914, ave_acc 0.7467
val-iterate 4000|7803, ave_instance_loss 0.497859, ave_acc 0.7461
val-iterate 4100|7803, ave_instance_loss 0.497776, ave_acc 0.7463
val-iterate 4200|7803, ave_instance_loss 0.496762, ave_acc 0.7470
val-iterate 4300|7803, ave_instance_loss 0.496165, ave_acc 0.7474
val-iterate 4400|7803, ave_instance_loss 0.496010, ave_acc 0.7478
val-iterate 4500|7803, ave_instance_loss 0.495504, ave_acc 0.7482
val-iterate 4600|7803, ave_instance_loss 0.495533, ave_acc 0.7481
val-iterate 4700|7803, ave_instance_loss 0.495117, ave_acc 0.7485
val-iterate 4800|7803, ave_instance_loss 0.494438, ave_acc 0.7490
val-iterate 4900|7803, ave_instance_loss 0.493790, ave_acc 0.7495
val-iterate 5000|7803, ave_instance_loss 0.493988, ave_acc 0.7494
val-iterate 5100|7803, ave_instance_loss 0.493816, ave_acc 0.7496
val-iterate 5200|7803, ave_instance_loss 0.493234, ave_acc 0.7500
val-iterate 5300|7803, ave_instance_loss 0.492170, ave_acc 0.7508
val-iterate 5400|7803, ave_instance_loss 0.491790, ave_acc 0.7511
val-iterate 5500|7803, ave_instance_loss 0.491784, ave_acc 0.7512
val-iterate 5600|7803, ave_instance_loss 0.491464, ave_acc 0.7515
val-iterate 5700|7803, ave_instance_loss 0.490927, ave_acc 0.7519
val-iterate 5800|7803, ave_instance_loss 0.490394, ave_acc 0.7524
val-iterate 5900|7803, ave_instance_loss 0.489958, ave_acc 0.7529
val-iterate 6000|7803, ave_instance_loss 0.489884, ave_acc 0.7530
val-iterate 6100|7803, ave_instance_loss 0.489605, ave_acc 0.7533
val-iterate 6200|7803, ave_instance_loss 0.489134, ave_acc 0.7537
val-iterate 6300|7803, ave_instance_loss 0.488533, ave_acc 0.7542
val-iterate 6400|7803, ave_instance_loss 0.488314, ave_acc 0.7543
val-iterate 6500|7803, ave_instance_loss 0.488098, ave_acc 0.7545
val-iterate 6600|7803, ave_instance_loss 0.488004, ave_acc 0.7546
val-iterate 6700|7803, ave_instance_loss 0.487414, ave_acc 0.7550
val-iterate 6800|7803, ave_instance_loss 0.486889, ave_acc 0.7555
val-iterate 6900|7803, ave_instance_loss 0.486293, ave_acc 0.7560
val-iterate 7000|7803, ave_instance_loss 0.486147, ave_acc 0.7561
val-iterate 7100|7803, ave_instance_loss 0.486053, ave_acc 0.7562
val-iterate 7200|7803, ave_instance_loss 0.485826, ave_acc 0.7564
val-iterate 7300|7803, ave_instance_loss 0.485240, ave_acc 0.7568
val-iterate 7400|7803, ave_instance_loss 0.485037, ave_acc 0.7570
val-iterate 7500|7803, ave_instance_loss 0.484845, ave_acc 0.7572
val-iterate 7600|7803, ave_instance_loss 0.484763, ave_acc 0.7573
val-iterate 7700|7803, ave_instance_loss 0.484677, ave_acc 0.7574
val-iterate 7800|7803, ave_instance_loss 0.484105, ave_acc 0.7578
---------------- epoch-002 summarys ----------------
train_loss 0.5173, train_acc 0.7428, train_auc 0.7236
 eval_loss 0.4841,  eval_acc 0.7579,  eval_auc 0.7732
train_time 153.4899, eval_time 35.5518
----------------------------------------------------
epoch - 03||25 is starting ...
train-iterate 0100|1074, ave_instance_loss 0.492893, ave_acc 0.7508
train-iterate 0200|1074, ave_instance_loss 0.486694, ave_acc 0.7565
train-iterate 0300|1074, ave_instance_loss 0.489180, ave_acc 0.7536
train-iterate 0400|1074, ave_instance_loss 0.490002, ave_acc 0.7525
train-iterate 0500|1074, ave_instance_loss 0.488120, ave_acc 0.7531
train-iterate 0600|1074, ave_instance_loss 0.488486, ave_acc 0.7522
train-iterate 0700|1074, ave_instance_loss 0.487287, ave_acc 0.7533
train-iterate 0800|1074, ave_instance_loss 0.488654, ave_acc 0.7518
train-iterate 0900|1074, ave_instance_loss 0.487444, ave_acc 0.7522
train-iterate 1000|1074, ave_instance_loss 0.485921, ave_acc 0.7532
val-iterate 0100|7803, ave_instance_loss 0.514636, ave_acc 0.7170
val-iterate 0200|7803, ave_instance_loss 0.498214, ave_acc 0.7302
val-iterate 0300|7803, ave_instance_loss 0.490635, ave_acc 0.7374
val-iterate 0400|7803, ave_instance_loss 0.487528, ave_acc 0.7416
val-iterate 0500|7803, ave_instance_loss 0.499079, ave_acc 0.7362
val-iterate 0600|7803, ave_instance_loss 0.493487, ave_acc 0.7391
val-iterate 0700|7803, ave_instance_loss 0.494124, ave_acc 0.7377
val-iterate 0800|7803, ave_instance_loss 0.493858, ave_acc 0.7395
val-iterate 0900|7803, ave_instance_loss 0.494736, ave_acc 0.7399
val-iterate 1000|7803, ave_instance_loss 0.493761, ave_acc 0.7404
val-iterate 1100|7803, ave_instance_loss 0.491003, ave_acc 0.7435
val-iterate 1200|7803, ave_instance_loss 0.487555, ave_acc 0.7454
val-iterate 1300|7803, ave_instance_loss 0.484593, ave_acc 0.7480
val-iterate 1400|7803, ave_instance_loss 0.483409, ave_acc 0.7489
val-iterate 1500|7803, ave_instance_loss 0.480082, ave_acc 0.7513
val-iterate 1600|7803, ave_instance_loss 0.479891, ave_acc 0.7512
val-iterate 1700|7803, ave_instance_loss 0.479576, ave_acc 0.7513
val-iterate 1800|7803, ave_instance_loss 0.478196, ave_acc 0.7524
val-iterate 1900|7803, ave_instance_loss 0.477366, ave_acc 0.7527
val-iterate 2000|7803, ave_instance_loss 0.475949, ave_acc 0.7538
val-iterate 2100|7803, ave_instance_loss 0.475229, ave_acc 0.7543
val-iterate 2200|7803, ave_instance_loss 0.474753, ave_acc 0.7546
val-iterate 2300|7803, ave_instance_loss 0.472891, ave_acc 0.7561
val-iterate 2400|7803, ave_instance_loss 0.473527, ave_acc 0.7556
val-iterate 2500|7803, ave_instance_loss 0.472082, ave_acc 0.7564
val-iterate 2600|7803, ave_instance_loss 0.472875, ave_acc 0.7560
val-iterate 2700|7803, ave_instance_loss 0.472026, ave_acc 0.7565
val-iterate 2800|7803, ave_instance_loss 0.471107, ave_acc 0.7571
val-iterate 2900|7803, ave_instance_loss 0.470545, ave_acc 0.7576
val-iterate 3000|7803, ave_instance_loss 0.469182, ave_acc 0.7585
val-iterate 3100|7803, ave_instance_loss 0.469565, ave_acc 0.7584
val-iterate 3200|7803, ave_instance_loss 0.469677, ave_acc 0.7584
val-iterate 3300|7803, ave_instance_loss 0.470342, ave_acc 0.7584
